EMPRESA,CODIGO,SETOR,PAIS DE ORIGEM
BROWN FORMAN CORP,B1FC34,Bebidas,EUA
CABLE ONE INC,C1AB34,Comunicaá?o,EUA
CABOT OILˇ,C1OG34,"Petr¢leo, G†s e Biocombust°veis",EUA
CADENCE DESIGN SYSTEMS INC,C1DN34,Tecnologia,EUA
CAMPBELL SOUP CO,C1PB34,Alimentos,EUA
CANAD NATION,CNIC34,Industrial,Canad†
CANAD PACIFI,CPRL34,Industrial,Canad†
CANON INC,CAJI34,Fotografia,Jap?o
CAPITAL ONE,CAON34,Serviáos Financeirosˇ,EUA
CAPRI HOLDI,CAPH34,"Comercio ? FarmacÇutico, diversos",Reino Unido
CARDINAL HEA,C1AH34,Sa£de,EUA
CARMAX INC,K1MX34,Varejista de carros,EUA
CARNIVAL COR,C1CL34,Serviáos ? Viagens,EUA
CARRIER GLOBAL CORPORATION,C1RR34,Industrial,EUA
CARTER?S INC,CRIN34,ComÇrcio ? Vestu†rioˇ,EUA
CBOE GLOBAL MARKETS INC,C1BO34,Serviáos Financeirosˇ,EUA
CBRE GROUP INC,C1BR34,Imobili†rio,EUA
CBS CORP ? VIACOMCBS,C1BS34,Telecomunicaá?es,EUA
CDW CORPORATION,C1DW34,Comunicaá?o,EUA
CELANESE CORP,C1NS34,Tecnologia,EUA
CENTENE CORP,C1NC34,Sa£de,EUA
CENTERPOINTˇ,C1NP34,Energia,EUA
CERNER CORP,C1ER34,Tecnologia,EUA
CF INDUSTRIE,C1FI34,Distribuidora,EUA
CH ROBINSON WORLDWIDE INC,C1HR34,Log°stica,EUA
CHARTER COMM,CHCM34,Comunicaá?oˇ,EUA
CHECK POINT SOFTWARE TECHNOLOGIES LTD,C1HK34,Tecnologia,EUA
CHINA LIFE INSURANCE CO LTD,L1FC34,Financeiro,China
CHINA MOBILE LTD,C1HL34,Comunicaá?o,Hong Kong
CHINA PETROLEUM & CHEMICAL CORP,C1HI34,Energia,China
CHIPOTLE MEXICAN GRILL INC,C1MG34,Restaurantes & Bares,EUA
CHUBB LTD,C1BL34,Seguros,EUA
CHUNGHWA TELECOM CO LTD,C1HT34,Comunicaá?o,Taiwan
CHURCH DWIGH,CHDC34,ComÇrcio ? Produtos de higiene pessoal,EUA
CIGNA CORP,C1IC34,Sa£de,EUA
CINCINNATI,CINF34,Serviáos Financeirosˇ,EUA
CINTAS CORP,C1TA34,Serviáos,EUA
CISCO,CSCO34,Aparelhos de Rede e Comunicaá?o,EUA
CITIGROUP,CTGP34,Bancos,EUA
CITIZENS FIN,C1FG34,Instituiá?o Financeira,EUA
CITRIX SYSTE,C1TX34,Tecnologia,EUA
CLOROX CO,CLXC34,ComÇrcio ? Produtos de consumo n?o dur†veis,EUA
CME GROUP,CHME34,Serviáos Financeirosˇ,EUA
CMS ENERGY CORP,C1MS34,Energia,EUA
CNOOC LTD,C1EO34,Energia,China
COGNIZANT,CTSH34,Programas e Serviáos,EUA
COMCAST,CMCS34,Sistemas de CATV,EUA
COMERICA INC,C1MA34,Serviáos Financeirosˇ,EUA
CONAGRA BRAN,C1AG34,Produtos Aliment°ciosˇ,EUA
CONCHO RESOU,C1XO34,"Petr¢leo, G†s e Biocombust°veis",EUA
CONSOLIDATED EDISON INC,E1DI34,Energia,EUA
CONSTELLATIO,STZB34,ComÇrcio ? Bebidas alco¢licasˇ,EUA
COOPER COMPANIES INC,C1OO34,Sa£de,EUA
COPART INC,C1PR34,Serviáos,EUA
COPHILLIPS,COPH34,Combust°vel & G†s Integrados,EUA
CORNING INC,G1LW34,Materiais B†sicosˇ,EUA
CORTEVA INC,C1TV34,Biotecnologia Agr°cola,EUA
COSTAR GROUP INC,C1GP34,Serviáos comerciais,EUA
COSTCO,COWC34,Produtos Diversos,EUA
COTY INC,COTY34,Consumo,EUA
COUPA SOFTWARE INC,C1OU34,Tecnologia,EUA
CREDIT ACCEP,CRDA34,Serviáos Financeirosˇ,EUA
CREDIT SUISSE GROUP AG,C1SU34,Financeiro,Switzerland
CRH PLC,CRHP34,Construá?o,Irlanda
CROWN CASTLE INTERNATIONAL CORP,C1CI34,Tecnologia,EUA
CSX CORP,CSXC34,Industrial,EUA
CTRIPCOM,CRIP34,Serviáos ? Viagens,China
CUMMINS INC,C1MI34,Metalurgia,EUA
CVS HEALTH,CVSH34,Medicamentos e Outros Produtos,EUA
DANAHER CORP,DHER34,Industrial,EUA
DARDEN RESTAURANTS INC,D1RI34,Restaurantes & Bares,EUA
