Setor,Subsetor,Nome,Codigo,Tipo
Financeiro,Serviços Financeiros Diversos,PPLA,PPLA,DR3
Financeiro,Serviços Financeiros Diversos,B3 ,B3SA,NM             
Financeiro,Serviços Financeiros Diversos,BOA VISTA,BOAS,NM             
Financeiro,Serviços Financeiros Diversos,CIELO       ,CIEL,NM             
Financeiro,Previdência e Seguros,ALFA CONSORC,BRGE,NM             
Financeiro,Previdência e Seguros,BBSEGURIDADE,BBSE,NM             
Financeiro,Previdência e Seguros,IRBBRASIL RE,IRBR,NM             
Financeiro,Previdência e Seguros,PORTO SEGURO,PSSA,NM             
Financeiro,Previdência e Seguros,SEG AL BAHIA,CSAB,NM             
Financeiro,Previdência e Seguros,SUL AMERICA ,SULA,N2             
Financeiro,Previdência e Seguros,ALPER S.A.,APER,NM             
Financeiro,Previdência e Seguros,WIZ S.A.,WIZS,NM             
Financeiro,Previdência e Seguros,WIZ S.A.,WIZS,NM             
Financeiro,Exploração de Imóveis,ALIANSCSONAE,ALSO,NM             
Financeiro,Exploração de Imóveis,BR MALLS PAR,BRML,NM             
Financeiro,Exploração de Imóveis,BR PROPERT  ,BRPR,NM             
Financeiro,Exploração de Imóveis,COR RIBEIRO ,CORR,NM             
Financeiro,Exploração de Imóveis,CYRE COM-CCP,CCPR,NM             
Financeiro,Exploração de Imóveis,GENERALSHOPP,GSHP,NM             
Financeiro,Exploração de Imóveis,HABITASUL   ,HBTS,NM             
Financeiro,Exploração de Imóveis,HBR REALTY,HBRE,NM             
Financeiro,Exploração de Imóveis,IGB S/A     ,IGBR,NM             
Financeiro,Exploração de Imóveis,IGUATEMI    ,IGTA,NM             
Financeiro,Exploração de Imóveis,JEREISSATI  ,JPSA,NM             
Financeiro,Exploração de Imóveis,LOG COM PROP,LOGG,NM             
Financeiro,Exploração de Imóveis,MENEZES CORT,MNZC,MB             
Financeiro,Exploração de Imóveis,MULTIPLAN   ,MULT,N2             
Financeiro,Exploração de Imóveis,SAO CARLOS  ,SCAR,NM             
Financeiro,Exploração de Imóveis,BR BROKERS  ,BBRK,NM             
Financeiro,Exploração de Imóveis,LOPES BRASIL,LPSB,NM             
Financeiro,Holdings Diversificadas,MONT ARANHA ,MOAR,NM             
Financeiro,Holdings Diversificadas,PAR AL BAHIA,PEAB,NM             
Financeiro,Holdings Diversificadas,SIMPAR,SIMH,NM             
Financeiro,Outros Títulos,CEPAC - CTBA,CTBA,MB             
Financeiro,Outros Títulos,CEPAC - MCRJ,MCRJ,MB             
Financeiro,Outros Títulos,CEPAC - PMSP,PMSP,MB             
Financeiro,Outros Títulos,CEPAC - PMSP,PMSP,MB             
Outros,Outros,524 PARTICIP,QVQP,MB             
Outros,Outros,ALEF S/A    ,ALEF,MB             
Outros,Outros,ATOMPAR,ATOM,MB             
Outros,Outros,BETAPART    ,BETP,MB             
Outros,Outros,CABINDA PART,CABI,MB             
Outros,Outros,CACONDE PART,CACO,MB             
Outros,Outros,CEMEPE      ,MAPT,MB             
Outros,Outros,CIMS        ,CMSA,MB             
Outros,Outros,GAMA PART   ,OPGM,MB             
Outros,Outros,INVEST BEMGE,FIGE,MB             
Outros,Outros,J B DUARTE  ,JBDU,MB             
Outros,Outros,MGI PARTICIP,MGIP,MB             
Outros,Outros,OPPORT ENERG,OPHE,MB             
Outros,Outros,POLPAR      ,PPAR,MB             
Outros,Outros,PROMPT PART ,PRPT,MB             
Outros,Outros,SUDESTE S/A ,OPSE,MB             
Outros,Outros,SUL 116 PART,OPTS,MB             
